dx                  dt                  epochs                  t                  MSE                  timing[s]                  
1.0000000000e-01                  5.0000000000e-03                    nan                  2.0000000000e-01                  6.7750570587e-04                  1.8079500000e-02                  
1.0000000000e-02                  5.0000000000e-05                    nan                  2.0000000000e-01                  1.4263385925e-05                  3.0601825000e-02                  
1.0000000000e-03                  5.0000000000e-07                    nan                  2.0000000000e-01                  1.4957584050e-07                  4.2680338850e+00                  
5.0000000000e-04                  1.2500000000e-07                    nan                  2.0000000000e-01                  3.7493182426e-08                  3.2806412533e+01                  
1.0000000000e-01                  1.0000000000e-01                  1.0000000000e+02                  2.0000000000e-01                  7.7059261156e-01                  1.8971744180e+00                  
1.0000000000e-02                  1.0000000000e-02                  1.0000000000e+02                  2.0000000000e-01                  1.6906710625e+00                  1.8537999980e+00                  
1.0000000000e-03                  1.0000000000e-03                  1.0000000000e+02                  2.0000000000e-01                  1.7942735361e+00                  3.6299767540e+01                  
5.0000000000e-04                  5.0000000000e-04                  1.0000000000e+02                  2.0000000000e-01                  1.7947172581e+00                  1.3790296494e+02                  
1.0000000000e-01                  1.0000000000e-01                  1.0000000000e+03                  2.0000000000e-01                  7.7411129443e-01                  4.1942031820e+00                  
1.0000000000e-02                  1.0000000000e-02                  1.0000000000e+03                  2.0000000000e-01                  1.2903211322e+00                  6.1344292500e+00                  
1.0000000000e-03                  1.0000000000e-03                  1.0000000000e+03                  2.0000000000e-01                  1.8037839548e+00                  3.2903505812e+02                  
1.0000000000e-01                  1.0000000000e-01                  1.0000000000e+04                  2.0000000000e-01                  3.6129755513e-01                  2.7345808836e+01                  
1.0000000000e-02                  1.0000000000e-02                  1.0000000000e+04                  2.0000000000e-01                  6.8192865445e-01                  4.7689034254e+01                  
