dx                  dt                  epochs                  T                  MSE                  timing[s]                  avg_runs
1.0000000000e-01                  5.0000000000e-03                    nan                  2.0000000000e-01                  6.7750570587e-04                  2.7316640000e-04                  5.0000000000e+00
1.0000000000e-02                  5.0000000000e-05                    nan                  2.0000000000e-01                  1.4263385925e-05                  1.7017416800e-02                  5.0000000000e+00
1.0000000000e-03                  5.0000000000e-07                    nan                  2.0000000000e-01                  1.4957584050e-07                  2.7334407666e+00                  5.0000000000e+00
1.0000000000e-01                  2.0000000000e-02                  1.0000000000e+01                  2.0000000000e-01                  2.4748678367e-02                  6.5335708360e-01                  5.0000000000e+00
1.0000000000e-02                  2.0000000000e-03                  1.0000000000e+01                  2.0000000000e-01                  1.8884149645e-02                  8.3268095000e-01                  5.0000000000e+00
1.0000000000e-03                  2.0000000000e-04                  1.0000000000e+01                  2.0000000000e-01                  3.3010991726e-02                  2.8130812908e+01                  5.0000000000e+00
1.0000000000e-01                  2.0000000000e-02                  1.0000000000e+02                  2.0000000000e-01                  7.1391339839e-04                  7.3851981660e-01                  5.0000000000e+00
1.0000000000e-02                  2.0000000000e-03                  1.0000000000e+02                  2.0000000000e-01                  3.1378964431e-04                  1.7223152670e+00                  5.0000000000e+00
5.0000000000e-02                  1.0000000000e-02                  1.0000000000e+02                  2.0000000000e-01                  3.7811443893e-04                  8.3797895020e-01                  5.0000000000e+00
1.0000000000e-01                  2.0000000000e-02                  1.0000000000e+03                  2.0000000000e-01                  5.9631813400e-04                  1.6906937002e+00                  5.0000000000e+00
1.0000000000e-02                  2.0000000000e-03                  1.0000000000e+03                  2.0000000000e-01                  3.1464962995e-04                  1.6347156942e+01                  5.0000000000e+00
5.0000000000e-02                  1.0000000000e-02                  1.0000000000e+03                  2.0000000000e-01                  3.7832181261e-04                  2.4154292748e+00                  5.0000000000e+00
1.0000000000e-01                  2.0000000000e-02                  1.0000000000e+04                  2.0000000000e-01                  1.8000969398e-05                  1.1715187325e+01                  5.0000000000e+00
1.0000000000e-02                  2.0000000000e-03                  1.0000000000e+04                  2.0000000000e-01                  2.7665035778e-06                  1.6904867093e+02                  5.0000000000e+00
5.0000000000e-02                  1.0000000000e-02                  1.0000000000e+04                  2.0000000000e-01                  1.5366427621e-06                  2.0080706950e+01                  5.0000000000e+00
1.0000000000e-01                  2.0000000000e-02                  2.0000000000e+04                  2.0000000000e-01                  2.5315288728e-07                  2.1454407400e+01                  5.0000000000e+00
5.0000000000e-02                  1.0000000000e-02                  2.0000000000e+04                  2.0000000000e-01                  2.1060011160e-05                  2.8779649275e+01                  5.0000000000e+00
1.0000000000e-01                  2.0000000000e-02                  3.0000000000e+04                  2.0000000000e-01                  1.9903282688e-06                  3.1822220917e+01                  5.0000000000e+00
5.0000000000e-02                  1.0000000000e-02                  3.0000000000e+04                  2.0000000000e-01                  2.0244120690e-07                  4.2609603842e+01                  5.0000000000e+00
