dx                  dt                  epochs                  T                  MSE                  timing[s]                  avg_runs
1.0000000000e-01                  5.0000000000e-03                    nan                  5.0000000000e-02                  1.5741235404e-03                  9.3818200000e-05                  5.0000000000e+00                  
5.0000000000e-02                  1.2500000000e-03                    nan                  5.0000000000e-02                  9.3835564422e-05                  2.9928360000e-04                  5.0000000000e+00                  
1.0000000000e-02                  5.0000000000e-05                    nan                  5.0000000000e-02                  3.1387847659e-08                  4.6986862000e-03                  5.0000000000e+00                  
5.0000000000e-03                  1.2500000000e-05                    nan                  5.0000000000e-02                  1.9704617917e-09                  2.6468544200e-02                  5.0000000000e+00                  
1.0000000000e-03                  5.0000000000e-07                    nan                  5.0000000000e-02                  3.1648036188e-12                  9.6052740020e-01                  5.0000000000e+00                  
1.0000000000e-01                  5.0000000000e-03                  1.0000000000e+01                  5.0000000000e-02                  2.4597526273e-02                  1.4749873952e+00                  5.0000000000e+00                  
5.0000000000e-02                  2.5000000000e-03                  1.0000000000e+01                  5.0000000000e-02                  2.2671791128e-02                  1.5606603744e+00                  5.0000000000e+00                  
1.0000000000e-02                  5.0000000000e-04                  1.0000000000e+01                  5.0000000000e-02                  2.3138224286e-02                  1.7365695648e+00                  5.0000000000e+00                  
5.0000000000e-03                  2.5000000000e-04                  1.0000000000e+01                  5.0000000000e-02                  2.5745973112e-02                  2.4723886094e+00                  5.0000000000e+00                  
1.0000000000e-03                  5.0000000000e-05                  1.0000000000e+01                  5.0000000000e-02                  2.5947602990e-02                  2.7419284240e+01                  5.0000000000e+00                  
1.0000000000e-01                  5.0000000000e-03                  1.0000000000e+02                  5.0000000000e-02                  1.0403620487e-04                  1.7522805666e+00                  5.0000000000e+00                  
5.0000000000e-02                  2.5000000000e-03                  1.0000000000e+02                  5.0000000000e-02                  8.8964741253e-05                  1.7597084320e+00                  5.0000000000e+00                  
1.0000000000e-02                  5.0000000000e-04                  1.0000000000e+02                  5.0000000000e-02                  9.3756452286e-05                  3.0486547772e+00                  5.0000000000e+00                  
5.0000000000e-03                  2.5000000000e-04                  1.0000000000e+02                  5.0000000000e-02                  1.0215366492e-04                  7.4758542218e+00                  5.0000000000e+00                  
1.0000000000e-01                  5.0000000000e-03                  1.0000000000e+03                  5.0000000000e-02                  9.7274897915e-05                  3.7320658580e+00                  5.0000000000e+00                  
5.0000000000e-02                  2.5000000000e-03                  1.0000000000e+03                  5.0000000000e-02                  9.4767094930e-05                  4.1966758520e+00                  5.0000000000e+00                  
1.0000000000e-02                  5.0000000000e-04                  1.0000000000e+03                  5.0000000000e-02                  9.2491155454e-05                  1.6439062045e+01                  5.0000000000e+00                  
1.0000000000e-01                  5.0000000000e-03                  1.0000000000e+03                  5.0000000000e-02                  9.7274900103e-05                  3.6806644394e+00                  5.0000000000e+00                  
5.0000000000e-02                  2.5000000000e-03                  1.0000000000e+03                  5.0000000000e-02                  9.4766997343e-05                  4.2497388088e+00                  5.0000000000e+00                  
1.0000000000e-01                  5.0000000000e-03                  1.0000000000e+04                  5.0000000000e-02                  2.8595682722e-07                  2.4143512293e+01                  5.0000000000e+00                  
5.0000000000e-02                  2.5000000000e-03                  1.0000000000e+04                  5.0000000000e-02                  2.9909773920e-08                  2.9777058846e+01                  5.0000000000e+00                  
1.0000000000e-01                  5.0000000000e-03                  1.0000000000e+05                  5.0000000000e-02                  3.4877977731e-08                  2.3924145668e+02                  5.0000000000e+00                  
