dx                  dt                  epochs                  T                  MSE                  timing[s]                  avg_runs
1.0000000000e-01                  5.0000000000e-03                    nan                  2.0000000000e-01                  4.2134089224e-05                  2.0049840000e-04                  5.0000000000e+00
5.0000000000e-02                  1.2500000000e-03                    nan                  2.0000000000e-01                  2.5760212754e-06                  7.9161400000e-04                  5.0000000000e+00
1.0000000000e-02                  5.0000000000e-05                    nan                  2.0000000000e-01                  2.7216524663e-10                  2.2094508800e-02                  5.0000000000e+00
5.0000000000e-03                  1.2500000000e-05                    nan                  2.0000000000e-01                  1.7093443949e-11                  1.0944431400e-01                  5.0000000000e+00
1.0000000000e-03                  5.0000000000e-07                    nan                  2.0000000000e-01                  2.7458021585e-14                  5.0181928020e+00                  5.0000000000e+00
1.0000000000e-01                  2.0000000000e-02                  1.0000000000e+01                  2.0000000000e-01                  4.1549490521e-02                  1.6006737256e+00                  5.0000000000e+00
5.0000000000e-02                  1.0000000000e-02                  1.0000000000e+01                  2.0000000000e-01                  2.1854624449e-02                  1.4684830618e+00                  5.0000000000e+00
1.0000000000e-02                  2.0000000000e-03                  1.0000000000e+01                  2.0000000000e-01                  3.7857903768e-02                  1.6953729260e+00                  5.0000000000e+00
5.0000000000e-03                  1.0000000000e-03                  1.0000000000e+01                  2.0000000000e-01                  2.1955683858e-02                  2.4999355422e+00                  5.0000000000e+00
1.0000000000e-01                  2.0000000000e-02                  1.0000000000e+02                  2.0000000000e-01                  6.8993734778e-04                  1.7611687820e+00                  5.0000000000e+00
5.0000000000e-02                  1.0000000000e-02                  1.0000000000e+02                  2.0000000000e-01                  3.6915125423e-04                  1.7544836926e+00                  5.0000000000e+00
1.0000000000e-02                  2.0000000000e-03                  1.0000000000e+02                  2.0000000000e-01                  3.1351881417e-04                  3.0500005922e+00                  5.0000000000e+00
5.0000000000e-03                  1.0000000000e-03                  1.0000000000e+02                  2.0000000000e-01                  3.2532559109e-04                  7.5675707544e+00                  5.0000000000e+00
1.0000000000e-01                  2.0000000000e-02                  1.0000000000e+03                  2.0000000000e-01                  7.1878345438e-04                  3.7443493626e+00                  5.0000000000e+00
5.0000000000e-02                  1.0000000000e-02                  1.0000000000e+03                  2.0000000000e-01                  3.0550764931e-04                  4.5613833538e+00                  5.0000000000e+00
1.0000000000e-02                  2.0000000000e-03                  1.0000000000e+03                  2.0000000000e-01                  3.1464976079e-04                  1.6960713152e+01                  5.0000000000e+00
1.0000000000e-01                  2.0000000000e-02                  1.0000000000e+03                  2.0000000000e-01                  7.1878448386e-04                  3.6892816210e+00                  5.0000000000e+00
5.0000000000e-02                  1.0000000000e-02                  1.0000000000e+03                  2.0000000000e-01                  3.7832410411e-04                  4.2208630994e+00                  5.0000000000e+00
1.0000000000e-01                  2.0000000000e-02                  1.0000000000e+04                  2.0000000000e-01                  3.9960532436e-07                  2.4142022592e+01                  5.0000000000e+00
5.0000000000e-02                  1.0000000000e-02                  1.0000000000e+04                  2.0000000000e-01                  5.8390191399e-07                  2.9591339890e+01                  5.0000000000e+00
